technique_ID,Azure AD,Containers,Google Workspace,IaaS,Linux,Network,Office 365,PRE,SaaS,Windows,macOS
T1489,0,0,0,0,1,0,0,0,0,1,1
T1490,0,0,0,1,1,1,0,0,0,1,1
T1491,0,0,0,1,1,0,0,0,0,1,1
T1491.001,0,0,0,0,1,0,0,0,0,1,1
T1491.002,0,0,0,1,1,0,0,0,0,1,1
T1495,0,0,0,0,1,1,0,0,0,1,1
T1496,0,1,0,1,1,0,0,0,0,1,1
T1497,0,0,0,0,1,0,0,0,0,1,1
T1497.001,0,0,0,0,1,0,0,0,0,1,1
T1497.002,0,0,0,0,1,0,0,0,0,1,1
T1497.003,0,0,0,0,1,0,0,0,0,1,1
T1498,1,1,1,1,1,0,1,0,1,1,1
T1498.001,1,0,1,1,1,0,1,0,1,1,1
T1498.002,1,0,1,1,1,0,1,0,1,1,1
T1499,1,1,1,1,1,0,1,0,1,1,1
T1499.001,0,0,0,0,1,0,0,0,0,1,1
T1499.002,1,0,1,1,1,0,1,0,1,1,1
T1499.003,1,0,1,1,1,0,1,0,1,1,1
T1499.004,1,0,1,1,1,0,1,0,1,1,1
T1505,0,0,0,0,1,1,0,0,0,1,1
T1505.001,0,0,0,0,1,0,0,0,0,1,0
T1505.002,0,0,0,0,1,0,0,0,0,1,0
T1505.003,0,0,0,0,1,1,0,0,0,1,1
T1505.004,0,0,0,0,0,0,0,0,0,1,0
T1505.005,0,0,0,0,0,0,0,0,0,1,0
T1518,1,0,1,1,1,0,1,0,1,1,1
T1518.001,1,0,1,1,1,0,1,0,1,1,1
T1525,0,1,0,1,0,0,0,0,0,0,0
T1526,1,0,1,1,0,0,1,0,1,0,0
T1528,1,1,1,0,0,0,1,0,1,0,0
T1529,0,0,0,0,1,1,0,0,0,1,1
T1530,0,0,0,1,0,0,0,0,1,0,0
T1531,0,0,0,0,1,0,1,0,1,1,1
T1534,0,0,1,0,1,0,1,0,1,1,1
T1535,0,0,0,1,0,0,0,0,0,0,0
T1537,0,0,0,1,0,0,0,0,0,0,0
T1538,1,0,1,1,0,0,1,0,0,0,0
T1539,0,0,1,0,1,0,1,0,1,1,1
T1542,0,0,0,0,1,1,0,0,0,1,1
T1542.001,0,0,0,0,0,0,0,0,0,1,0
T1542.002,0,0,0,0,1,0,0,0,0,1,1
T1542.003,0,0,0,0,1,0,0,0,0,1,0
T1542.004,0,0,0,0,0,1,0,0,0,0,0
T1542.005,0,0,0,0,0,1,0,0,0,0,0
T1543,0,0,0,0,1,0,0,0,0,1,1
T1543.001,0,0,0,0,0,0,0,0,0,0,1
T1543.002,0,0,0,0,1,0,0,0,0,0,0
T1543.003,0,0,0,0,0,0,0,0,0,1,0
T1543.004,0,0,0,0,0,0,0,0,0,0,1
T1546,0,0,0,1,1,0,1,0,1,1,1
T1546.001,0,0,0,0,0,0,0,0,0,1,0
T1546.002,0,0,0,0,0,0,0,0,0,1,0
T1546.003,0,0,0,0,0,0,0,0,0,1,0
T1546.004,0,0,0,0,1,0,0,0,0,0,1
T1546.005,0,0,0,0,1,0,0,0,0,0,1
T1546.006,0,0,0,0,0,0,0,0,0,0,1
T1546.007,0,0,0,0,0,0,0,0,0,1,0
T1546.008,0,0,0,0,0,0,0,0,0,1,0
T1546.009,0,0,0,0,0,0,0,0,0,1,0
T1546.010,0,0,0,0,0,0,0,0,0,1,0
T1546.011,0,0,0,0,0,0,0,0,0,1,0
T1546.012,0,0,0,0,0,0,0,0,0,1,0
T1546.013,0,0,0,0,0,0,0,0,0,1,0
T1546.014,0,0,0,0,0,0,0,0,0,0,1
T1546.015,0,0,0,0,0,0,0,0,0,1,0
T1546.016,0,0,0,0,1,0,0,0,0,1,1
T1547,0,0,0,0,1,0,0,0,0,1,1
T1547.001,0,0,0,0,0,0,0,0,0,1,0
T1547.002,0,0,0,0,0,0,0,0,0,1,0
T1547.003,0,0,0,0,0,0,0,0,0,1,0
T1547.004,0,0,0,0,0,0,0,0,0,1,0
T1547.005,0,0,0,0,0,0,0,0,0,1,0
T1547.006,0,0,0,0,1,0,0,0,0,0,1
T1547.007,0,0,0,0,0,0,0,0,0,0,1
T1547.008,0,0,0,0,0,0,0,0,0,1,0
T1547.009,0,0,0,0,0,0,0,0,0,1,0
T1547.010,0,0,0,0,0,0,0,0,0,1,0
T1547.012,0,0,0,0,0,0,0,0,0,1,0
T1547.013,0,0,0,0,1,0,0,0,0,0,0
T1547.014,0,0,0,0,0,0,0,0,0,1,0
T1547.015,0,0,0,0,0,0,0,0,0,0,1
T1548,0,0,0,0,1,0,0,0,0,1,1
T1548.001,0,0,0,0,1,0,0,0,0,0,1
T1548.002,0,0,0,0,0,0,0,0,0,1,0
T1548.003,0,0,0,0,1,0,0,0,0,0,1
T1548.004,0,0,0,0,0,0,0,0,0,0,1
T1550,0,1,1,1,0,0,1,0,1,1,0
T1550.001,1,1,1,1,0,0,1,0,1,0,0
T1550.002,0,0,0,0,0,0,0,0,0,1,0
T1550.003,0,0,0,0,0,0,0,0,0,1,0
T1550.004,0,0,1,1,0,0,1,0,1,0,0
T1552,1,1,1,1,1,1,1,0,1,1,1
T1552.001,0,1,0,1,1,0,0,0,0,1,1
T1552.002,0,0,0,0,0,0,0,0,0,1,0
T1552.003,0,0,0,0,1,0,0,0,0,0,1
T1552.004,0,0,0,0,1,1,0,0,0,1,1
T1552.005,0,0,0,1,0,0,0,0,0,0,0
T1552.006,0,0,0,0,0,0,0,0,0,1,0
T1552.007,0,1,0,0,0,0,0,0,0,0,0
T1552.008,0,0,1,0,0,0,1,0,1,0,0
T1553,0,0,0,0,1,0,0,0,0,1,1
T1553.001,0,0,0,0,0,0,0,0,0,0,1
T1553.002,0,0,0,0,0,0,0,0,0,1,1
T1553.003,0,0,0,0,0,0,0,0,0,1,0
T1553.004,0,0,0,0,1,0,0,0,0,1,1
T1553.005,0,0,0,0,0,0,0,0,0,1,0
T1553.006,0,0,0,0,0,0,0,0,0,1,1
T1554,0,0,0,0,1,0,0,0,0,1,1
T1555,0,0,0,0,1,0,0,0,0,1,1
T1555.001,0,0,0,0,0,0,0,0,0,0,1
T1555.002,0,0,0,0,1,0,0,0,0,0,1
T1555.003,0,0,0,0,1,0,0,0,0,1,1
T1555.004,0,0,0,0,0,0,0,0,0,1,0
T1555.005,0,0,0,0,1,0,0,0,0,1,1
